ability_id,ability_short_effect_markup,ability_short_effect_html
178,"Strengthens aura and pulse moves to 1.5x their power.<br/>
Affected moves:
<ul>
<li>{Aura Sphere;MOVE;aura-sphere}</li>
<li>{Dark Pulse;MOVE;dark-pulse}</li>
<li>{Dragon Pulse;MOVE;dragon-pulse}</li>
<li>{Heal Pulse;MOVE;heal-pulse}</li>
<li>{Terrain Pulse;MOVE;terrain-pulse}</li>
<li>{Water Pulse;MOVE;water-pulse}</li>
<li>{Origin Pulse;MOVE;origin-pulse}</li>
</ul>","Strengthens aura and pulse moves to 1.5x their power.<br>
Affected moves:
<ul>
<li><a href=""/moves/aura-sphere"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aura Sphere</span></a></li>
<li><a href=""/moves/dark-pulse"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dark Pulse</span></a></li>
<li><a href=""/moves/dragon-pulse"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dragon Pulse</span></a></li>
<li><a href=""/moves/heal-pulse"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Heal Pulse</span></a></li>
<li><a href=""/moves/terrain-pulse"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Terrain Pulse</span></a></li>
<li><a href=""/moves/water-pulse"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Water Pulse</span></a></li>
<li><a href=""/moves/origin-pulse"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Origin Pulse</span></a></li>
</ul>"
179,Boosts {Defense;STAT;DEFENSE} while {Grassy Terrain;MOVE;grassy-terrain} is in effect.,"Boosts <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> while <a href=""/moves/grassy-terrain"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Grassy Terrain</span></a> is in effect."
180,Passes the bearer's held item to an ally when the ally uses up its item.,Passes the bearer's held item to an ally when the ally uses up its item.
181,"Strengthens moves that make contact to 1.33x their power.<br/>
Affected moves:
<ul>
<li>{Accelerock;MOVE;accelerock}</li>
<li>{Acrobatics;MOVE;acrobatics}</li>
<li>{Aerial Ace;MOVE;aerial-ace}</li>
<li>{Aqua Tail;MOVE;aqua-tail}</li>
<li>{Assurance;MOVE;assurance}</li>
<li>{Bite;MOVE;bite}</li>
<li>{Body Slam;MOVE;body-slam}</li>
<li>{Brick Break;MOVE;brick-break}</li>
<li>{Brutal Swing;MOVE;brutal-swing}</li>
<li>{Bullet Punch;MOVE;bullet-punch}</li>
<li>{Clamp;MOVE;clamp}</li>
<li>{Close Combat;MOVE;close-combat}</li>
<li>{Covet;MOVE;covet}</li>
<li>{Cross Chop;MOVE;cross-chop}</li>
<li>{Crunch;MOVE;crunch}</li>
<li>{Crush Claw;MOVE;crush-claw}</li>
<li>{Cut;MOVE;cut}</li>
<li>{Dig;MOVE;dig}</li>
<li>{Dive;MOVE;dive}</li>
<li>{Double-Edge;MOVE;double-edge}</li>
<li>{Dragon Claw;MOVE;dragon-claw}</li>
<li>{Dragon Rush;MOVE;dragon-rush}</li>
<li>{Dragon Tail;MOVE;dragon-tail}</li>
<li>{Drill Run;MOVE;drill-run}</li>
<li>{Dual Chop;MOVE;dual-chop}</li>
<li>{Dynamic Punch;MOVE;dynamic-punch}</li>
<li>{Facade;MOVE;facade}</li>
<li>{Fake Out;MOVE;fake-out}</li>
<li>{False Swipe;MOVE;false-swipe}</li>
<li>{Fire Fang;MOVE;fire-fang}</li>
<li>{Fire Punch;MOVE;fire-punch}</li>
<li>{Flail;MOVE;flail}</li>
<li>{Flame Charge;MOVE;flame-charge}</li>
<li>{Flare Blitz;MOVE;flare-blitz}</li>
<li>{Fly;MOVE;fly}</li>
<li>{Focus Punch;MOVE;focus-punch}</li>
<li>{Foul Play;MOVE;foul-play}</li>
<li>{Frustration;MOVE;frustration}</li>
<li>{Fury Cutter;MOVE;fury-cutter}</li>
<li>{Fury Swipes;MOVE;fury-swipes}</li>
<li>{Giga Impact;MOVE;giga-impact}</li>
<li>{Grass Knot;MOVE;grass-knot}</li>
<li>{Gyro Ball;MOVE;gyro-ball}</li>
<li>{Hammer Arm;MOVE;hammer-arm}</li>
<li>{Headbutt;MOVE;headbutt}</li>
<li>{Heavy Slam;MOVE;heavy-slam}</li>
<li>{Hold Back;MOVE;hold-back}</li>
<li>{Ice Fang;MOVE;ice-fang}</li>
<li>{Ice Punch;MOVE;ice-punch}</li>
<li>{Infestation;MOVE;infestation}</li>
<li>{Iron Head;MOVE;iron-head}</li>
<li>{Iron Tail;MOVE;iron-tail}</li>
<li>{Knock Off;MOVE;knock-off}</li>
<li>{Lash Out;MOVE;lash-out}</li>
<li>{Last Resort;MOVE;last-resort}</li>
<li>{Liquidation;MOVE;liquidation}</li>
<li>{Low Kick;MOVE;low-kick}</li>
<li>{Mega Kick;MOVE;mega-kick}</li>
<li>{Mega Punch;MOVE;mega-punch}</li>
<li>{Metal Claw;MOVE;metal-claw}</li>
<li>{Meteor Mash;MOVE;meteor-mash}</li>
<li>{Night Slash;MOVE;night-slash}</li>
<li>{Outrage;MOVE;outrage}</li>
<li>{Payback;MOVE;payback}</li>
<li>{Play Rough;MOVE;play-rough}</li>
<li>{Poison Jab;MOVE;poison-jab}</li>
<li>{Power-Up Punch;MOVE;power-up-punch}</li>
<li>{Pursuit;MOVE;pursuit}</li>
<li>{Psychic Fangs;MOVE;psychic-fangs}</li>
<li>{Quick Attack;MOVE;quick-attack}</li>
<li>{Rage;MOVE;rage}</li>
<li>{Razor Shell;MOVE;razor-shell}</li>
<li>{Retaliate;MOVE;retaliate}</li>
<li>{Return;MOVE;return}</li>
<li>{Reversal;MOVE;reversal}</li>
<li>{Rock Climb;MOVE;rock-climb}</li>
<li>{Rock Smash;MOVE;rock-smash}</li>
<li>{Rollout;MOVE;rollout}</li>
<li>{Scratch;MOVE;scratch}</li>
<li>{Shadow Claw;MOVE;shadow-claw}</li>
<li>{Skull Bash;MOVE;skull-bash}</li>
<li>{Sky Drop;MOVE;sky-drop}</li>
<li>{Slash;MOVE;slash}</li>
<li>{Steel Wing;MOVE;steel-wing}</li>
<li>{Stomping Tantrum;MOVE;stomping-tantrum}</li>
<li>{Strength;MOVE;strength}</li>
<li>{Submission;MOVE;submission}</li>
<li>{Sucker Punch;MOVE;sucker-punch}</li>
<li>{Superpower;MOVE;superpower}</li>
<li>{Tackle;MOVE;tackle}</li>
<li>{Tail Slap;MOVE;tail-slap}</li>
<li>{Take Down;MOVE;take-down}</li>
<li>{Thief;MOVE;thief}</li>
<li>{Thrash;MOVE;thrash}</li>
<li>{Throat Chop;MOVE;throat-chop}</li>
<li>{Thunder Fang;MOVE;thunder-fang}</li>
<li>{Thunder Punch;MOVE;thunder-punch}</li>
<li>{Trailblaze;MOVE;trailblaze}</li>
<li>{U-turn;MOVE;u-turn}</li>
<li>{Wing Attack;MOVE;wing-attack}</li>
<li>{X-Scissor;MOVE;x-scissor}</li>
<li>{Zen Headbutt;MOVE;zen-headbutt}</li>
</ul>","Strengthens moves that make contact to 1.33x their power.<br>
Affected moves:
<ul>
<li><a href=""/moves/accelerock"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Accelerock</span></a></li>
<li><a href=""/moves/acrobatics"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Acrobatics</span></a></li>
<li><a href=""/moves/aerial-ace"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aerial Ace</span></a></li>
<li><a href=""/moves/aqua-tail"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aqua Tail</span></a></li>
<li><a href=""/moves/assurance"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Assurance</span></a></li>
<li><a href=""/moves/bite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Bite</span></a></li>
<li><a href=""/moves/body-slam"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Body Slam</span></a></li>
<li><a href=""/moves/brick-break"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Brick Break</span></a></li>
<li><a href=""/moves/brutal-swing"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Brutal Swing</span></a></li>
<li><a href=""/moves/bullet-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Bullet Punch</span></a></li>
<li><a href=""/moves/clamp"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Clamp</span></a></li>
<li><a href=""/moves/close-combat"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Close Combat</span></a></li>
<li><a href=""/moves/covet"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Covet</span></a></li>
<li><a href=""/moves/cross-chop"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Cross Chop</span></a></li>
<li><a href=""/moves/crunch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Crunch</span></a></li>
<li><a href=""/moves/crush-claw"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Crush Claw</span></a></li>
<li><a href=""/moves/cut"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Cut</span></a></li>
<li><a href=""/moves/dig"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dig</span></a></li>
<li><a href=""/moves/dive"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dive</span></a></li>
<li><a href=""/moves/double-edge"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Double-Edge</span></a></li>
<li><a href=""/moves/dragon-claw"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dragon Claw</span></a></li>
<li><a href=""/moves/dragon-rush"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dragon Rush</span></a></li>
<li><a href=""/moves/dragon-tail"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dragon Tail</span></a></li>
<li><a href=""/moves/drill-run"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Drill Run</span></a></li>
<li><a href=""/moves/dual-chop"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dual Chop</span></a></li>
<li><a href=""/moves/dynamic-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dynamic Punch</span></a></li>
<li><a href=""/moves/facade"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Facade</span></a></li>
<li><a href=""/moves/fake-out"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fake Out</span></a></li>
<li><a href=""/moves/false-swipe"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>False Swipe</span></a></li>
<li><a href=""/moves/fire-fang"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fire Fang</span></a></li>
<li><a href=""/moves/fire-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fire Punch</span></a></li>
<li><a href=""/moves/flail"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flail</span></a></li>
<li><a href=""/moves/flame-charge"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flame Charge</span></a></li>
<li><a href=""/moves/flare-blitz"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flare Blitz</span></a></li>
<li><a href=""/moves/fly"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fly</span></a></li>
<li><a href=""/moves/focus-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Focus Punch</span></a></li>
<li><a href=""/moves/foul-play"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Foul Play</span></a></li>
<li><a href=""/moves/frustration"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Frustration</span></a></li>
<li><a href=""/moves/fury-cutter"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fury Cutter</span></a></li>
<li><a href=""/moves/fury-swipes"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fury Swipes</span></a></li>
<li><a href=""/moves/giga-impact"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Giga Impact</span></a></li>
<li><a href=""/moves/grass-knot"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Grass Knot</span></a></li>
<li><a href=""/moves/gyro-ball"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Gyro Ball</span></a></li>
<li><a href=""/moves/hammer-arm"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Hammer Arm</span></a></li>
<li><a href=""/moves/headbutt"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Headbutt</span></a></li>
<li><a href=""/moves/heavy-slam"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Heavy Slam</span></a></li>
<li><a href=""/moves/hold-back"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Hold Back</span></a></li>
<li><a href=""/moves/ice-fang"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Ice Fang</span></a></li>
<li><a href=""/moves/ice-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Ice Punch</span></a></li>
<li><a href=""/moves/infestation"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Infestation</span></a></li>
<li><a href=""/moves/iron-head"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Iron Head</span></a></li>
<li><a href=""/moves/iron-tail"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Iron Tail</span></a></li>
<li><a href=""/moves/knock-off"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Knock Off</span></a></li>
<li><a href=""/moves/lash-out"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Lash Out</span></a></li>
<li><a href=""/moves/last-resort"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Last Resort</span></a></li>
<li><a href=""/moves/liquidation"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Liquidation</span></a></li>
<li><a href=""/moves/low-kick"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Low Kick</span></a></li>
<li><a href=""/moves/mega-kick"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Mega Kick</span></a></li>
<li><a href=""/moves/mega-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Mega Punch</span></a></li>
<li><a href=""/moves/metal-claw"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Metal Claw</span></a></li>
<li><a href=""/moves/meteor-mash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Meteor Mash</span></a></li>
<li><a href=""/moves/night-slash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Night Slash</span></a></li>
<li><a href=""/moves/outrage"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Outrage</span></a></li>
<li><a href=""/moves/payback"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Payback</span></a></li>
<li><a href=""/moves/play-rough"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Play Rough</span></a></li>
<li><a href=""/moves/poison-jab"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Poison Jab</span></a></li>
<li><a href=""/moves/power-up-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Power-Up Punch</span></a></li>
<li><a href=""/moves/pursuit"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Pursuit</span></a></li>
<li><a href=""/moves/psychic-fangs"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Psychic Fangs</span></a></li>
<li><a href=""/moves/quick-attack"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Quick Attack</span></a></li>
<li><a href=""/moves/rage"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rage</span></a></li>
<li><a href=""/moves/razor-shell"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Razor Shell</span></a></li>
<li><a href=""/moves/retaliate"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Retaliate</span></a></li>
<li><a href=""/moves/return"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Return</span></a></li>
<li><a href=""/moves/reversal"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reversal</span></a></li>
<li><a href=""/moves/rock-climb"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rock Climb</span></a></li>
<li><a href=""/moves/rock-smash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rock Smash</span></a></li>
<li><a href=""/moves/rollout"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Rollout</span></a></li>
<li><a href=""/moves/scratch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Scratch</span></a></li>
<li><a href=""/moves/shadow-claw"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Shadow Claw</span></a></li>
<li><a href=""/moves/skull-bash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Skull Bash</span></a></li>
<li><a href=""/moves/sky-drop"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sky Drop</span></a></li>
<li><a href=""/moves/slash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Slash</span></a></li>
<li><a href=""/moves/steel-wing"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Steel Wing</span></a></li>
<li><a href=""/moves/stomping-tantrum"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Stomping Tantrum</span></a></li>
<li><a href=""/moves/strength"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Strength</span></a></li>
<li><a href=""/moves/submission"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Submission</span></a></li>
<li><a href=""/moves/sucker-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sucker Punch</span></a></li>
<li><a href=""/moves/superpower"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Superpower</span></a></li>
<li><a href=""/moves/tackle"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Tackle</span></a></li>
<li><a href=""/moves/tail-slap"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Tail Slap</span></a></li>
<li><a href=""/moves/take-down"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Take Down</span></a></li>
<li><a href=""/moves/thief"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thief</span></a></li>
<li><a href=""/moves/thrash"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thrash</span></a></li>
<li><a href=""/moves/throat-chop"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Throat Chop</span></a></li>
<li><a href=""/moves/thunder-fang"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Fang</span></a></li>
<li><a href=""/moves/thunder-punch"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Thunder Punch</span></a></li>
<li><a href=""/moves/trailblaze"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Trailblaze</span></a></li>
<li><a href=""/moves/u-turn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>U-turn</span></a></li>
<li><a href=""/moves/wing-attack"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Wing Attack</span></a></li>
<li><a href=""/moves/x-scissor"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>X-Scissor</span></a></li>
<li><a href=""/moves/zen-headbutt"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Zen Headbutt</span></a></li>
</ul>"
182,"Turns the bearer's {NORMAL;TYPE;Normal}-type moves into {FAIRY;TYPE;Fairy} moves.<br/>
Moves changed by this ability have 1.3x their power.","Turns the bearer's <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span>-type moves into <span style=""background-color: #f2a5ff; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fairy"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/1193c4cd69c93d47a5709ea20b8d05a0edbe0b764393ef51c84f6e56a896359c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fairy""><span style=""color: rgb(255, 255, 255);"">Fairy</span></a></span> moves.<br>
Moves changed by this ability have 1.3x their power."
183,Lowers attacking Pokémon's {Speed;STAT;SPEED} by one stage on contact.,"Lowers attacking Pokémon's <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> by one stage on contact."
184,"Turns the bearer's {NORMAL;TYPE;Normal}-type moves into {FLYING;TYPE;Flying}-type moves.<br/>
Moves changed by this ability have 1.3x their power.","Turns the bearer's <span style=""background-color: #A1A1A1; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Normal"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/df931b761961d037e369dc6433fe3a5d8cc076837922094892e602ae4a764e96"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Normal""><span style=""color: rgb(255, 255, 255);"">Normal</span></a></span>-type moves into <span style=""background-color: #8FB8E5; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Flying"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/fab0a4d3718b88e4477c37e89ef56d1eb8b5ebcc591c4a13f2047cc3d7288b3a"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Flying""><span style=""color: rgb(255, 255, 255);"">Flying</span></a></span>-type moves.<br>
Moves changed by this ability have 1.3x their power."
185,Lets the bearer hit twice with damaging moves. The second hit has half power.,Lets the bearer hit twice with damaging moves. The second hit has half power.
186,Strengthens {DARK;TYPE;Dark} moves for all friendly and opposing Pokémon.,"Strengthens <span style=""background-color: #705848; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Dark"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/3d030dfd23d2193cede25996116d4a6facfcc9f4dd4a95f62e868c1691aac82c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Dark""><span style=""color: rgb(255, 255, 255);"">Dark</span></a></span> moves for all friendly and opposing Pokémon."
187,Strengthens {FAIRY;TYPE;Fairy} moves for all friendly and opposing Pokémon.,"Strengthens <span style=""background-color: #f2a5ff; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fairy"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/1193c4cd69c93d47a5709ea20b8d05a0edbe0b764393ef51c84f6e56a896359c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fairy""><span style=""color: rgb(255, 255, 255);"">Fairy</span></a></span> moves for all friendly and opposing Pokémon."
188,"While this Pokémon is on the field, {Dark Aura;ABILITY;dark-aura} and {Fairy Aura;ABILITY;fairy-aura} weaken moves of their respective types to <span style=""font-size: 1.3rem"">⅔</span> their power, rather than strengthening them.","While this Pokémon is on the field, <a href=""/abilities/dark-aura"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dark Aura</span></a> and <a href=""/abilities/fairy-aura"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Fairy Aura</span></a> weaken moves of their respective types to <span style=""font-size: 1.3rem"">⅔</span> their power, rather than strengthening them."
