item_identifier,version_identifier,localized_name
big-pearl,diamond-pearl,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
big-pearl,emerald,A lovely large pearl that would sell at a high price.
big-pearl,firered-leafgreen,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price.
big-pearl,gold-silver,"A big, beautiful pearl. Sell high."
big-pearl,heartgold-soulsilver,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
big-pearl,legends-arceus,A rather large pearl that has a very nice silvery sheen. It can be sold at a high price to shops.
big-pearl,legends-za,A rather large pearl that has a nice silvery sheen to it. It can be sold at a high price to shops.
big-pearl,lets-go-pikachu-lets-go-eevee,A rather large pearl that has a very nice silvery sheen. It can be sold at a high price to shops.
big-pearl,omega-ruby-alpha-sapphire,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.
big-pearl,platinum,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
big-pearl,ruby-sapphire,A lovely large pearl that would sell at a high price.
big-pearl,scarlet-violet,A rather large pearl that has a nice silvery sheen to it. It can be sold at a high price to shops.
big-pearl,sun-moon,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.
big-pearl,sword-shield,A rather large pearl that has a very nice silvery sheen. It can be sold at a high price to shops.
big-pearl,ultra-sun-ultra-moon,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.
big-pearl,x-y,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.
big-pearl,xd,A lovely large pearl that would sell at a high price.
big-root,brilliant-diamond-shining-pearl,An item to be held by a Pokémon. It boosts the amount of HP the holder restores from HP-stealing moves.
big-root,diamond-pearl,A Pokémon hold item that boosts the power of HP-stealing moves to let the holder recover more HP.
big-root,legends-arceus,An item to be held by a Pokémon. It boosts the amount of HP the holder restores from HP-stealing moves.
big-root,omega-ruby-alpha-sapphire,An item to be held by a Pokémon. It boosts the power of HP-stealing moves so the holder recovers more HP.
big-root,platinum,A Pokémon hold item that boosts the power of HP-stealing moves to let the holder recover more HP.
big-root,scarlet-violet,An item to be held by a Pokémon. This root boosts the amount of HP the holder restores to itself when it uses HP-stealing moves.
big-root,sun-moon,An item to be held by a Pokémon. It boosts the amount of HP the holder recovers from HP-stealing moves.
big-root,sword-shield,An item to be held by a Pokémon. It boosts the amount of HP the holder restores from HP-stealing moves.
big-root,ultra-sun-ultra-moon,An item to be held by a Pokémon. It boosts the amount of HP the holder recovers from HP-stealing moves.
big-root,x-y,An item to be held by a Pokémon. It boosts the power of HP-stealing moves so the holder recovers more HP.
bike-voucher,emerald,A voucher for obtaining a bicycle from the Bike Shop.
bike-voucher,firered-leafgreen,Take this voucher to the Bike Shop in Cerulean City and exchange it for a bicycle.
bike-voucher,stadium,To be exchanged for a Bike at the Bike Shop in Cerulean City.
binding-band,black-white,A band that increases the power of binding moves when held.
binding-band,scarlet-violet,An item to be held by a Pokémon. This band boosts the power of binding moves used by the holder.
binding-band,sun-moon,An item to be held by a Pokémon. A band that increases the power of binding moves used by the holder.
binding-band,sword-shield,An item to be held by a Pokémon. It's a band that increases the power of binding moves used by the holder.
binding-band,x-y,An item to be held by a Pokémon. A band that increases the power of binding moves used by the holder.
bitter-berry,crystal,A self-cure for confusion. (HOLD)
bitter-berry,gold-silver,A self-cure for confusion. (HOLD)
bitter-herba-mystica,scarlet-violet,"A legendary condiment with a deeply bitter taste. It's said to dramatically bolster a body's immune defenses, though that hasn't been proven."
black-apricorn,black-2-white-2,A black Apricorn. It has an indescribable scent.
black-apricorn,black-white,A black Apricorn. It has an indescribable scent.
black-apricorn,brilliant-diamond-shining-pearl,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,crystal,A black Apricorn.
black-apricorn,gold-silver,A black Apricorn.
black-apricorn,heartgold-soulsilver,A black Apricorn. It has an indescribable scent.
black-apricorn,legends-arceus,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,lets-go-pikachu-lets-go-eevee,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,omega-ruby-alpha-sapphire,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,scarlet-violet,A black Apricorn. It has a smell that cannot be captured in words.
black-apricorn,sun-moon,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,sword-shield,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,ultra-sun-ultra-moon,A black Apricorn. It has a scent beyond one's experience.
black-apricorn,x-y,A black Apricorn. It has a scent beyond one's experience.
black-augurite,legends-arceus,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
black-augurite,legends-za,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
black-augurite,scarlet-violet,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
black-belt,diamond-pearl,It is a belt that boosts determination and Fighting-type moves.
black-belt,gold-silver,Boosts fighting-type moves. (HOLD)
black-belt,ruby-sapphire,A hold item that boosts Fighting-type moves.
black-belt,scarlet-violet,This belt helps with focus and boosts the power of the holder's Fighting-type moves.
black-belt,x-y,This belt helps the wearer to focus and boosts the power of Fighting-type moves.
black-flute,black-white,A toy flute made from black glass. A maniac will buy it for a high price.
black-flute,diamond-pearl,A black flute made from blown glass. Its melody makes wild Pokémon less likely to appear.
black-flute,firered-leafgreen,"A black glass flute. When blown, it makes wild Pokémon less likely to appear."
black-flute,omega-ruby-alpha-sapphire,A flute made from black glass. It makes it easier to encounter strong Pokémon in the place you use it.
black-flute,ruby-sapphire,A glass flute that keeps away wild Pokémon.
black-flute,scarlet-violet,A flute made from black glass. It makes it easier to encounter high-level Pokémon in the place you use it.
black-flute,x-y,A lovely toy flute to admire. It's made from black glass.
black-glasses,scarlet-violet,An item to be held by a Pokémon. It's a pair of shady-looking glasses that boost the power of the holder's Dark-type moves.
black-mane-hair,brilliant-diamond-shining-pearl,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Spectrier. The hair is very smooth to the touch."
black-mane-hair,legends-arceus,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Spectrier. The hair is very smooth to the touch."
black-mane-hair,scarlet-violet,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Spectrier. The hair is very smooth to the touch."
black-mane-hair,sword-shield,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Spectrier. The hair is very smooth to the touch."
black-sludge,brilliant-diamond-shining-pearl,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-sludge,diamond-pearl,A hold item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
black-sludge,legends-arceus,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-sludge,omega-ruby-alpha-sapphire,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-sludge,platinum,A hold item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
black-sludge,scarlet-violet,"An item to be held by a Pokémon. If the holder is a Poison type, this sludge will gradually restore its HP. It damages any other type."
black-sludge,sun-moon,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-sludge,sword-shield,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-sludge,ultra-sun-ultra-moon,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-sludge,x-y,An item to be held by a Pokémon. It gradually restores HP to Poison-type Pokémon. It damages any other type.
black-tumblestone,legends-arceus,"When combined with an Apricorn, this mysterious black stone can draw out the properties required to forge a Heavy Ball."
black-tumblestone,scarlet-violet,"When combined with an Apricorn, this mysterious black stone can draw out the properties required to forge a Heavy Ball."
blank-plate,legends-arceus,"A stone tablet imbued with the essence of normalcy. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Normal type."
blank-plate,scarlet-violet,"A stone tablet imbued with the essence of normalcy. When used on a certain Pokémon, it allows that Pokémon to gain the power of the Normal type."
blastoisinite,legends-za,One of a variety of mysterious Mega Stones. A Blastoise holding this stone will be able to Mega Evolve during battle.
blastoisinite,lets-go-pikachu-lets-go-eevee,One of a variety of mysterious Mega Stones. This stone will enable Blastoise to Mega Evolve during battle.
blastoisinite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle."
blastoisinite,sun-moon,"One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle."
blastoisinite,ultra-sun-ultra-moon,"One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle."
blastoisinite,x-y,"One variety of the mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle."
blazikenite,legends-za,One of a variety of mysterious Mega Stones. A Blaziken holding this stone will be able to Mega Evolve during battle.
blazikenite,omega-ruby-alpha-sapphire,"One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle."
blazikenite,sun-moon,"One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle."
blazikenite,ultra-sun-ultra-moon,"One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle."
blazikenite,x-y,"One variety of the mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle."
bloom-mail,diamond-pearl,Stationery featuring a print of pretty floral patterns. Let a Pokémon hold it for delivery.
bloom-mail,heartgold-soulsilver,Stationery featuring a print of pretty floral patterns. Let a Pokémon hold it for delivery.
bloom-mail,platinum,Stationery featuring a print of pretty floral patterns. Let a Pokémon hold it for delivery.
blue-apricorn,black-2-white-2,A blue Apricorn. It smells a bit like grass.
blue-apricorn,brilliant-diamond-shining-pearl,A blue Apricorn. It smells a bit like grass.
blue-apricorn,crystal,A blue Apricorn.
blue-apricorn,gold-silver,A blue Apricorn.
blue-apricorn,heartgold-soulsilver,A blue Apricorn. It smells a bit like grass.
blue-apricorn,legends-arceus,A blue Apricorn. It smells a bit like grass.
blue-apricorn,omega-ruby-alpha-sapphire,A blue Apricorn. It smells a bit like grass.
blue-apricorn,scarlet-violet,A blue Apricorn. It has a slightly grassy smell to it.
blue-apricorn,sun-moon,A blue Apricorn. It smells a bit like grass.
blue-apricorn,sword-shield,A blue Apricorn. It smells a bit like grass.
blue-apricorn,ultra-sun-ultra-moon,A blue Apricorn. It smells a bit like grass.
blue-apricorn,x-y,A blue Apricorn. It smells a bit like grass.
blue-bottle,scarlet-violet,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
blue-canari-plush-lv-1,legends-za,A plush doll of Canari that holds a blue charm. Having one of these makes it a little more likely that you'll succeed at catching Pokémon.
blue-canari-plush-lv-2,legends-za,A plush doll of Canari that holds a blue charm. Having one of these makes it more likely that you'll succeed at catching Pokémon.
blue-canari-plush-lv-3,legends-za,A plush doll of Canari that holds a blue charm. Having one of these makes it a lot more likely that you'll succeed at catching Pokémon.
blue-card,black-2-white-2,A card to save points for the Buena's Password show.
blue-card,black-white,A card to save points for the Buena's Password show.
blue-card,brilliant-diamond-shining-pearl,A card to save points for the Buena's Password show.
blue-card,crystal,Card to save points.
blue-card,heartgold-soulsilver,A card to save points for the Buena's Password show.
blue-card,legends-arceus,A card to save points for the Buena's Password show.
blue-card,omega-ruby-alpha-sapphire,A card to save points for the Buena's Password show.
blue-card,scarlet-violet,A card to save points for the Buena's Password show.
blue-card,sun-moon,A card to save points for the Buena's Password show.
blue-card,sword-shield,A card to save points for the Buena's Password show.
blue-card,ultra-sun-ultra-moon,A card to save points for the Buena's Password show.
blue-card,x-y,A card to save points for the Buena's Password show.
blue-chairs,scarlet-violet,A set of chairs that are ideal for picnicking. Their design was inspired by the Blue Tablecloth.
blue-cup,scarlet-violet,"A cup sold with the Blue Bottle. The two don't stack, so they're tough to pack—but they look good, so they're popular with those who like to post picnic photos."
blue-dish,scarlet-violet,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The blue variety is a consistent strong seller.
blue-flag-pick,scarlet-violet,"This pick flies a blue flag that lends an air of adventure. The flag itself is made of card stock, so it'll fly proudly even with no wind."
blue-flute,black-2-white-2,A toy flute made from blue glass. A maniac will buy it for a high price.
blue-flute,black-white,A toy flute made from blue glass. A maniac will buy it for a high price.
blue-flute,diamond-pearl,A blue flute made from blown glass. Its melody awakens a single Pokémon from sleep.
blue-flute,emerald,A glass flute that awakens sleeping Pokémon.
blue-flute,firered-leafgreen,A blue glass flute that awakens a sleeping Pokémon.
blue-flute,heartgold-soulsilver,A blue flute made from blown glass. Its melody awakens a single Pokémon from sleep.
blue-flute,omega-ruby-alpha-sapphire,A flute made from blue glass that awakens sleeping Pokémon.
blue-flute,platinum,A blue flute made from blown glass. Its melody awakens a single Pokémon from sleep.
blue-flute,ruby-sapphire,A glass flute that awakens sleeping Pokémon.
blue-flute,sun-moon,A flute made from blue glass that awakens sleeping Pokémon.
blue-flute,ultra-sun-ultra-moon,A flute made from blue glass that awakens sleeping Pokémon.
blue-flute,x-y,A lovely toy flute to admire. It's made from blue glass.
blue-orb,black-2-white-2,A shiny blue orb that is said to have a legend and has a deep connection with the Hoenn region.
blue-orb,black-white,A shiny blue orb that is said to have a legend and has a deep connection with the Hoenn region.
blue-orb,brilliant-diamond-shining-pearl,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,emerald,"A blue, glowing orb said to contain an ancient power."
blue-orb,firered-leafgreen,An orb that glows blue. It is said to contain an incredible power from ancient times.
blue-orb,heartgold-soulsilver,A shiny blue orb that is said to have a legend and has a deep connection with the Hoenn region.
blue-orb,legends-arceus,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,legends-za,A shiny blue orb that is said to have a deep connection to a legend of the Hoenn region.
blue-orb,lets-go-pikachu-lets-go-eevee,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,omega-ruby-alpha-sapphire,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,ruby-sapphire,"A blue, glowing orb said to contain an ancient power."
blue-orb,scarlet-violet,A shiny blue orb that is said to have a deep connection to a legend of the Hoenn region.
blue-orb,sun-moon,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,sword-shield,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,ultra-sun-ultra-moon,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-orb,x-y,A shiny blue orb that is said to have a legend tied to it. It's known to have a deep connection with the Hoenn region.
blue-petal,brilliant-diamond-shining-pearl,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-petal,legends-arceus,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-petal,lets-go-pikachu-lets-go-eevee,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-petal,scarlet-violet,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-petal,sword-shield,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-petal,ultra-sun-ultra-moon,A pressed flower petal you receive from Lana during Mina's trial. The goal is to collect seven different kinds of petals.
blue-poke-ball-pick,scarlet-violet,A sandwich pick with a simple blue Poké Ball design. Often used by Trainers who picked a Water-type Pokémon for their first partner.
blue-scarf,black-2-white-2,An item to be held by a Pokémon. It boosts the Beauty aspect of the holder in a Contest.
blue-scarf,brilliant-diamond-shining-pearl,"An item to be held by a Pokémon. During a Super Contest Show, it raises the Beauty of the Pokémon holding it."
blue-scarf,diamond-pearl,"An item to be held by a Pokémon. It boosts the ""Beauty"" aspect of the holder in a Contest."
blue-scarf,emerald,A hold item that raises Beauty in Contests.
blue-scarf,firered-leafgreen,An item to be held by a Pokémon. It boosts the holding Pokémon's Beauty condition in Contests.
blue-scarf,heartgold-soulsilver,"An item to be held by a Pokémon. It boosts the ""Beauty"" aspect of the holder in a Contest in Sinnoh."
blue-scarf,omega-ruby-alpha-sapphire,"An item to be held by a Pokémon. During a contest, it raises the Beauty aspect of the Pokémon holding it."
blue-scarf,platinum,"An item to be held by a Pokémon. It boosts the ""Beauty"" aspect of the holder in a Contest."
blue-scarf,ruby-sapphire,A hold item that raises Beauty in Contests.
blue-scarf,scarlet-violet,"When a Pokémon holds this during a contest, it looks even more beautiful than usual."
blue-scarf,x-y,"An item to be held by a Pokémon. During a Contest, it raises the Beauty aspect of the Pokémon holding it."
blue-shard,brilliant-diamond-shining-pearl,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,diamond-pearl,A small blue shard. It appears to be from some sort of implement made long ago.
blue-shard,emerald,A shard from an ancient item. Can be sold cheaply.
blue-shard,firered-leafgreen,A small blue shard. It appears to be from some sort of a tool made long ago.
blue-shard,heartgold-soulsilver,A small blue shard. It appears to be from some sort of implement made long ago.
blue-shard,legends-arceus,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,omega-ruby-alpha-sapphire,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,platinum,A small blue shard. It appears to be from some sort of implement made long ago.
blue-shard,ruby-sapphire,A shard from an ancient item. Can be sold cheaply.
blue-shard,scarlet-violet,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,sun-moon,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,sword-shield,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,ultra-sun-ultra-moon,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,x-y,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
blue-sky-flower-pick,scarlet-violet,"A flower pick designed to evoke a blue sky. It's part of a line of ""sky-flower"" picks. Using a few is guaranteed to boost that special picnic spirit."
blue-tablecloth,scarlet-violet,"A simple blue tablecloth. It's smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
blueberry-chairs,scarlet-violet,A set of chairs that are ideal for picnicking. Their design was inspired by the Blueberry Tablecloth.
blueberry-tablecloth,scarlet-violet,"Blueberry Academy's standard issue tablecloth, made with the latest fiber-processing technology. It's heat-resistant and so tough even a Razor Claw can't tear it."
bluesky-mail,crystal,Sky-print Mail. (HOLD)
bluesky-mail,gold-silver,Sky-print Mail. (HOLD)
bluk-berry,diamond-pearl,A Poffin ingredient. Bury it in soft soil to grow a Bluk Plant.
bluk-berry,emerald,Pokéblock ingredient. Plant in loamy soil to grow Bluk.
bluk-berry,omega-ruby-alpha-sapphire,Used to make Pokéblocks that will enhance your Beauty. Its blue flesh is sour when eaten.
bluk-berry,platinum,A Poffin ingredient. Bury it in soft soil to grow a Bluk Plant.
bluk-berry,ruby-sapphire,Pokéblock ingredient. Plant in loamy soil to grow Bluk.
bluk-berry,sword-shield,Used to make Pokéblocks that will enhance your Beauty. Its blue flesh is dry when eaten.
blunder-policy,brilliant-diamond-shining-pearl,Raises Speed sharply when a Pokémon misses with a move because of accuracy.
blunder-policy,legends-arceus,Raises Speed sharply when a Pokémon misses with a move because of accuracy.
blunder-policy,scarlet-violet,"An item to be held by a Pokémon. If the holder misses with a move due to low accuracy, this policy will sharply boost its Speed stat."
blunder-policy,sword-shield,Raises Speed sharply when a Pokémon misses with a move because of accuracy.
bobs-food-tin,brilliant-diamond-shining-pearl,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
bobs-food-tin,legends-arceus,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
bobs-food-tin,scarlet-violet,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
bobs-food-tin,sword-shield,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
boiled-egg,brilliant-diamond-shining-pearl,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
boiled-egg,legends-arceus,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
boiled-egg,scarlet-violet,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
boiled-egg,sword-shield,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
bold-mint,brilliant-diamond-shining-pearl,"When a Pokémon smells this mint, its Defense will grow more easily, but its Attack will grow more slowly."
bold-mint,legends-arceus,"When a Pokémon smells this mint, its Defense will grow more easily, but its Attack will grow more slowly."
bold-mint,scarlet-violet,"Having a Pokémon smell this mint can make its Defense stat grow stronger. However, its Attack stat may suffer."
bold-mint,sword-shield,"When a Pokémon smells this mint, its Defense will grow more easily, but its Attack will grow more slowly."
boost-mulch,omega-ruby-alpha-sapphire,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
boost-mulch,sun-moon,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
boost-mulch,ultra-sun-ultra-moon,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
boost-mulch,x-y,Mulch to be used in a Berry field. It increases the Berry harvest that can be grown by diligent watering.
booster-energy,scarlet-violet,An item to be held by Pokémon with certain Abilities. The energy that fills this capsule boosts the strength of the Pokémon.
bottle-cap,scarlet-violet,A lovely silver bottle cap. Certain people are delighted to be given one of these.
bottle-cap,sun-moon,A beautiful bottle cap that gives off a silver gleam. Some people are happy to receive one.
bottle-cap,sword-shield,A beautiful bottle cap that gives off a silver gleam. Some people are happy to receive one.
brave-mint,brilliant-diamond-shining-pearl,"When a Pokémon smells this mint, its Attack will grow more easily, but its Speed will grow more slowly."
brave-mint,legends-arceus,"When a Pokémon smells this mint, its Attack will grow more easily, but its Speed will grow more slowly."
brave-mint,scarlet-violet,"Having a Pokémon smell this mint can make its Attack stat grow stronger. However, its Speed stat may suffer."
brave-mint,sword-shield,"When a Pokémon smells this mint, its Attack will grow more easily, but its Speed will grow more slowly."
bread,brilliant-diamond-shining-pearl,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
bread,legends-arceus,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
bread,scarlet-violet,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
bread,sword-shield,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
briars-book,scarlet-violet,"A proof copy of the exploration notes covering the Area Zero Underdepths. It's filled with long paragraphs describing what happened, along with Briar's thoughts."
brick-mail,diamond-pearl,Stationery featuring a print of a tough-looking brick pattern. Let a Pokémon hold it for delivery.
brick-mail,heartgold-soulsilver,Stationery featuring a print of a tough-looking brick pattern. Let a Pokémon hold it for delivery.
brick-mail,platinum,Stationery featuring a print of a tough-looking brick pattern. Let a Pokémon hold it for delivery.
brick-piece,crystal,A rare chunk of tile.
brick-piece,gold-silver,A rare chunk of brick.
bridgemail-d,black-2-white-2,Stationery featuring a print of a red drawbridge. Let a Pokémon hold it for use.
bridgemail-d,black-white,Stationery featuring a print of a red drawbridge. Let a Pokémon hold it for use.
bridgemail-d,scarlet-violet,Stationery featuring an illustration of a bright-red drawbridge. Have a Pokémon hold it for delivery.
bridgemail-m,black-2-white-2,Stationery featuring a print of an arched bridge. Let a Pokémon hold it for use.
bridgemail-m,black-white,Stationery featuring a print of an arched bridge. Let a Pokémon hold it for use.
bridgemail-m,brilliant-diamond-shining-pearl,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,legends-arceus,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,lets-go-pikachu-lets-go-eevee,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,omega-ruby-alpha-sapphire,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,scarlet-violet,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,sun-moon,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,sword-shield,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,ultra-sun-ultra-moon,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-m,x-y,Stationery featuring an illustration of a majestically arched bridge. Have a Pokémon hold it for delivery.
bridgemail-s,black-2-white-2,Stationery featuring a print of a sky-piercing bridge. Let a Pokémon hold it for use.
bridgemail-s,black-white,Stationery featuring a print of a sky-piercing bridge. Let a Pokémon hold it for use.
bridgemail-t,black-2-white-2,Stationery featuring a print of a steel suspension bridge. Let a Pokémon hold it for use.
bridgemail-t,black-white,Stationery featuring a print of a steel suspension bridge. Let a Pokémon hold it for use.
bridgemail-t,brilliant-diamond-shining-pearl,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,legends-arceus,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,lets-go-pikachu-lets-go-eevee,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,omega-ruby-alpha-sapphire,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,scarlet-violet,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,sun-moon,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,sword-shield,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,ultra-sun-ultra-moon,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-t,x-y,Stationery featuring an illustration of a high-tension steel suspension bridge. Have a Pokémon hold it for delivery.
bridgemail-v,black-2-white-2,Stationery featuring a print of a brick bridge. Let a Pokémon hold it for use.
bridgemail-v,black-white,Stationery featuring a print of a brick bridge. Let a Pokémon hold it for use.
bridgemail-v,brilliant-diamond-shining-pearl,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,legends-arceus,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,omega-ruby-alpha-sapphire,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,scarlet-violet,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,sun-moon,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,sword-shield,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,ultra-sun-ultra-moon,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bridgemail-v,x-y,Stationery featuring an illustration of a vintage-looking brick bridge. Have a Pokémon hold it for delivery.
bright-powder,crystal,Lowers the foe's accuracy. (HOLD)
bright-powder,diamond-pearl,An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.
bright-powder,emerald,A hold item that casts a glare to reduce accuracy.
bright-powder,gold-silver,Lowers the foe's accuracy. (HOLD)
bright-powder,heartgold-soulsilver,An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.
bright-powder,platinum,An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.
