item_identifier,spin_off_game,effect_description,acquisition_method,notes
premier-ball,Pokémon GO,"Used exclusively in bonus challenges of Raid Battles, Team GO Rocket battles, and Max Battles with an increasing catch rate.",Raid and Rocket battle rewards,Unused balls are discarded after encounters.
prism-scale,Detective Pikachu,Triggers the evolution of a Feebas into Milotic in the story.,Story appearance,
profs-letter,Pokémon Trading Card Game,"Allows the player to search their deck for up to two basic Energy cards, reveal them, and add them to their hand, then shuffle their deck.",,Item card in the Pokémon Trading Card Game XY Series
protein,Pokémon Mystery Dungeon Series,Raises Attack by 3 and restores 5 Belly.,,
quick-ball,Pokémon Frienda,"Can be thrown at patches of grass during the ""Get it now!"" segment to catch Pokémon.",Each throw costs ¥100.,
rabuta-berry,Pokémon Dream Radar,Used as an ingredient for Ice Cream Scoop flavors and décor exchanges.,exchange,
rainbow-feather,Pokémon Masters EX,A decorative replica displayed in the Trainer Lodge.,Purchased from the Lodge Exchange after reaching friendship level 100 with Silver.,
rainbow-flower,Pokémon Trading Card Game,"When attached to a Pokémon-GX, that Pokémon gets +20 HP and cannot be damaged by the opponent's attacks while on the Bench.",Promotional Pokémon Card Gym tournament packs,Released exclusively in Japan as SM-P Promo 388 in 2019.
rare-candy,Pokémon GO,Turns into the Candy of the selected Pokémon species.,"Raids, research, and battles",
rawst-berry,Pokémon Mystery Dungeon,Heals burn and slightly fills the Belly.,,
rawst-berry,Pokémon Sleep,Raises Snorlax's Strength when fed.,gathered by helper Pokémon,
razor-claw,Pokémon Mystery Dungeon: Explorers,Allows Sneasel to evolve into Weavile when offered with a Lunar Ribbon,otherwise has no dungeon effect.,"Treasure Boxes, Job requests, Kecleon Shops"
razor-claw,Pokémon Sleep,Used to evolve certain Pokémon and is consumed upon use.,Sleep Point Exchange,
razor-claw,Pokémon UNITE,Boosts Attack and critical-hit rate and empowers basic attacks after using a move.,,
razor-fang,Pokémon Mystery Dungeon: Explorers,Allows Gligar to evolve into Gliscor and can be thrown for minor damage.,"Treasure Boxes, job requests, Kecleon Shops",
razz-berry,Pokémon GO,Increases catch rate by ×1.5 and can be fed to Gym Pokémon to boost motivation.,"Level-up rewards, PokéStops, Gyms, and Field Research",
reaper-cloth,Pokémon Conquest,Enables certain Pokémon to evolve when equipped by a Warrior.,Purchased from traveling merchant,
reaper-cloth,Pokémon Mystery Dungeon: Explorers,Allows Dusclops to evolve into Dusknoir when offered with a Link Cable at Luminous Spring.,"Treasure Boxes, Job requests, Kecleon Shops",
red-card,Pokémon Trading Card Game Pocket,Forces the opponent to shuffle their hand into their deck and draw three cards.,,
repeat-ball,Pokémon TCG: Primal Clash,Search your deck for a Pokémon with the same name as one of your Pokémon in play and put it into your hand.,,
revive,Pokémon GO,Revives a fainted Pokémon and restores half of its maximum HP,cannot be used during battle.,"PokéStops, Raids, Research, Gifts"
rindo-berry,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,,
rocky-helmet,Pokémon UNITE,Deals recoil damage to nearby enemies after the user takes heavy damage,also boosts HP and Defense.,
roller-skates,Pokémon Masters EX,Korrina appears wearing Roller Skates.,,
rotom-bike,Pokémon Adventures,Used by characters to travel quickly and later upgraded to travel on water.,Obtained from a man after dealing with Team Yell; later upgraded.,Sword & Shield arc.
rotom-bike,Pokémon Trading Card Game,"Allows the player to draw cards until they have six cards in hand, then their turn ends.",Item card in Sword & Shield series expansions.,
rusted-sword,Pokémon UNITE,Has no effect,"Zacian is forced to hold it, limiting it to two other useful held items.",Starting item in Item Box
sablenite,Pokémon Shuffle,Allows the player to Mega Evolve Sableye or Spooky Sableye.,Defeat Mega Sableye in Stage 30 (Night Festival),
safari-ball,Pokémon GO,A special event-exclusive Poké Ball with a higher catch rate than standard Poké Balls.,GO Wild Area events,Expires at the end of each event day.
salac-berry,Pokémon UNITE,Increases the movement speed of the Pokémon that eats it for a short duration.,Appears on stages and respawns after a period of time.,
salamencite,Pokémon Shuffle,Allows Salamence to Mega Evolve.,Defeating Mega Salamence in Stage 530 or as a competitive stage prize.,"Competitive stage ran January 16–23, 2018."
sceptilite,Pokémon Shuffle,Allows Sceptile to Mega Evolve into Mega Sceptile.,Mission Card 19 or competitive stage reward,
scizorite,Pokémon Shuffle,Allows Scizor to Mega Evolve.,Defeat Mega Scizor in Stage 400 at Violeta Palace,
scope-lens,Pokémon UNITE,"Increases basic attack critical hit damage and critical hit rate, scaling by grade.",,
shalour-sable,Pokémon: Magikarp Jump,Food that can be consumed by Magikarp.,"Unlocked at Trainer Rank 48 for 15,171 coins.",
sharpedonite,Pokémon Shuffle,Allows Sharpedo to Mega Evolve.,Defeat Mega Sharpedo in Stage 600 at Prasino Woods.,
shell-bell,Pokémon UNITE,Restores HP when moves hit with a cooldown and increases Sp. Atk and cooldown reduction.,,
shell-bell,Pokémon: Magikarp Jump,Summons Greninja as a helper Pokémon.,Shop purchase for 500 diamonds,Friendship Item
shiny-stone,Pokémon Mystery Dungeon: Explorers,Allows certain Pokémon to evolve when used.,,
shiny-stone,Pokémon Sleep,Required to evolve certain Pokémon; consumed on use.,,
silver-pinap-berry,Pokémon GO,Adds a ×2.334 Candy multiplier and a ×1.8 catch rate multiplier; also greatly increases Gym defender motivation.,"Field Research, Adventure Sync rewards, GO Battle League, Ultra Buddy PokéStops, Mega Raid rewards, and Special Research",
sitrus-berry,Pokémon Masters EX,Restores approximately 20% of an ally’s maximum HP.,Item move for specific sync pairs,
sitrus-berry,Pokémon Mystery Dungeon,Restores HP and may permanently increase max HP if consumed at full health.,Various dungeons,
sitrus-berry,Pokémon Sleep,Raises Snorlax’s Strength when fed.,Gathered by helper Pokémon,
slowbronite,Pokémon Shuffle,Allows Slowbro to Mega Evolve into Mega Slowbro.,Defeat Mega Slowbro in Stage 45 on Isla Asul,
slowpoke-tail,Pokémon Sleep,Used as a cooking ingredient with a base Strength of 342.,Gathered by helper Pokémon,
small-bouquet,Pokémon GO,A Buddy Souvenir with no functional purpose.,Buddy Pokémon souvenir at Ultra Buddy level,
soft-sand,Pokémon: Magikarp Jump,Summons Mudkip as a helper Pokémon.,Reward for beating the Ultra League,Friendship Item
soothe-bell,Pokémon: Magikarp Jump,Summons Eevee as a helper Pokémon.,Purchased for 500 diamonds,
sour-herba-mystica,Pokémon Horizons: The Series,,Purchased in Levincia,"Appears in the episode ""Fly! Wattrel!!""."
spell-tag,Pokémon: Magikarp Jump,Summons Mimikyu as a helper Pokémon.,Purchased for 400 diamonds,Friendship Item
splash-plate,Pokémon: Magikarp Jump,Summons Popplio as a helper Pokémon.,Purchased for 500 diamonds,Friendship Item
squirt-bottle,Pokémon Trading Card Game Pocket,Discards a Fire Energy from the opponent's Active Pokémon.,,Item card from the Wisdom of Sea and Sky expansion.
star-piece,Pokémon GO,Increases the amount of Stardust earned by 50% for 30 minutes.,Shop purchase or Special Research rewards,
steelixite,Pokémon Shuffle,Allows Steelix to Mega Evolve into Mega Steelix.,Competitive stage reward,Available during specific event rotations on 3DS and mobile.
stretchy-spring,Pokémon GO,A Buddy Souvenir with no functional purpose.,Collected occasionally by a Buddy Pokémon after reaching Ultra Buddy level.,
sun-stone,Pokémon GO,Used with candy to evolve specific Pokémon.,"PokéStops, Gifts, Research",Added 2017-02-16
super-potion,Pokémon Conquest,Heals a Pokémon by 50 HP.,Shop purchase,
super-potion,Pokémon GO,Restores 50 HP outside of battle.,"Level up, PokéStops, Raids, Gifts",Cannot be used during battle.
surf-mail,Pokémon Stadium 2,,,
swampertite,Pokémon Shuffle,Allows Swampert to Mega Evolve into Mega Swampert.,Mission Card 18 or competitive stage rewards,
sweet-apple,Pokémon GO,Required to evolve certain Pokémon and is consumed upon use.,Tapping apples near PokéStops or using Mossy Lure Modules.,"Added April 24, 2025"
syrupy-apple,Pokémon GO,Required to evolve certain Pokémon; consumed upon use.,"Obtained by tapping apples near PokéStops, with increased chances near Mossy Lure Modules.",Added to Pokémon GO on 2025-10-10
tart-apple,Pokémon GO,Required to evolve certain Pokémon and is consumed upon use.,Tapping apples near PokéStops,Added on 2025-04-24
tera-orb,Pokémon Trading Card Game,"Allows the player to search their deck for a Tera Pokémon, reveal it, and put it into their hand.",TCG expansion release,Introduced in the Japanese Stellar Tera Type Starter Sets and the English Surging Sparks expansion.
tiny-mushroom,Pokémon Quest,Ingredient used in cooking to attract wild Pokémon.,Expeditions or recycling Power Stones,
tm001,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM001 in the respective game.,Various dungeons and shops,Details vary widely by Mystery Dungeon title.
tm002,Pokémon Mystery Dungeon,Teaches the move Dragon Claw.,,Named only by the move it teaches in Mystery Dungeon games.
tm003,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM003 in each Mystery Dungeon title.,,
tm004,Pokémon Mystery Dungeon Series,Teaches the move Calm Mind.,"Various dungeons, shops, and rewards depending on title.",Named only by the move taught in Mystery Dungeon games.
tm005,Pokémon Mystery Dungeon Series,Teaches the move Roar.,Various dungeons and shops,
tm006,Pokémon Mystery Dungeon Series,Teaches the move Toxic.,Various dungeons and shops depending on title.,
tm008,Pokémon Mystery Dungeon Series,Teaches the move Bulk Up.,"Various shops, buried items, and rewards depending on title.",
tm009,Pokémon Mystery Dungeon: Explorers,Teaches the move Bullet Seed.,"Dungeons, shops, rewards",
tm009,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Venoshock.,Kecleon Shop,
tm009,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Teaches the move Bullet Seed.,Various dungeons and shops,Single-use TM.
tm009,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Venoshock.,Dungeons and shops,
tm010,Pokémon Mystery Dungeon,Teaches the move Hidden Power.,Various dungeons and shops,
tm011,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Sunny Day.,"Kecleon Shop, Quagsire Assembly",
tm011,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Sunny Day.,"Dungeons, Kecleon Shops, Treasure Boxes",
tm011,Pokémon Super Mystery Dungeon,Teaches the move Sunny Day.,Kecleon Shops,
tm012,Pokémon Mystery Dungeon Series,Teaches the move Taunt.,Various dungeons and shops,
tm014,Pokémon Mystery Dungeon Series,Teaches the move Blizzard.,Various dungeon rewards and shops.,Named by move only in Mystery Dungeon games.
tm015,Pokémon Mystery Dungeon,Teaches the move Hyper Beam.,Various dungeons and shops depending on game.,
tm016,Pokémon Mystery Dungeon,Teaches the move Light Screen.,Various dungeons and shops,Named only by the move taught in Mystery Dungeon games.
tm017,Pokémon Mystery Dungeon Series,Teaches the move Protect.,,Named only by the move it teaches in Mystery Dungeon games.
tm018,Pokémon Mystery Dungeon,Teaches the move Rain Dance.,Various dungeons and shops,Named by the move it teaches.
tm020,Pokémon Mystery Dungeon Series,,,Named by the move it teaches in Mystery Dungeon titles.
tm021,Pokémon Mystery Dungeon Series,Teaches the move Frustration.,Various dungeons and shops,Named only by the move it teaches in Mystery Dungeon games.
tm023,Pokémon Mystery Dungeon Series,Teaches the move associated with TM023 in the respective game.,"Various dungeon, shop, and reward methods depending on title.",
tm024,Pokémon Mystery Dungeon Series,Teaches the move Thunderbolt.,Various dungeons and shops,Named only by the move it teaches in Mystery Dungeon games.
tm025,Pokémon Mystery Dungeon Series,Teaches the move Thunder.,Various dungeon finds and shops depending on title.,
tm026,Pokémon Mystery Dungeon,Teaches the move Earthquake.,,
tm027,Pokémon Mystery Dungeon Series,Teaches the move Return.,,Named by the move it teaches.
tm028,Pokémon Mystery Dungeon: Red Rescue Team & Blue Rescue Team,Teaches the move Dig.,,
tm029,Pokémon Mystery Dungeon Series,Teaches the move Psychic.,Various dungeons and shops depending on title.,
tm030,Pokémon Mystery Dungeon Series,Teaches the move Shadow Ball.,"Dungeon drops, shops, and rewards depending on title.",
tm031,Pokémon Mystery Dungeon,Teaches the move Brick Break.,Various dungeons and shops,
tm033,Pokémon Mystery Dungeon Series,Teaches the move Reflect.,Various dungeon locations and shops depending on title.,
tm034,Pokémon Mystery Dungeon,Functions as a TM teaching the corresponding move in Mystery Dungeon games.,,
tm035,Pokémon Mystery Dungeon,Teaches the move Flamethrower.,,Named by the move it teaches.
tm036,Pokémon Mystery Dungeon Series,Teaches the move Sludge Bomb.,Various dungeons and shops depending on title.,
tm037,Pokémon Mystery Dungeon: Gates to Infinity,,"Beartic Slide, Sunken Treasure",
tm037,Pokémon Mystery Dungeon: Rescue Team DX,,"Various dungeons, Kecleon Shop, Treasure Boxes",
tm037,Pokémon Super Mystery Dungeon,,Kecleon Shops,
tm039,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Rock Tomb.,Kecleon Shop,
tm039,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Rock Tomb.,Various dungeons and shops,
tm039,Pokémon Super Mystery Dungeon,Teaches the move Rock Tomb.,Kecleon Shop,
tm040,Pokémon Mystery Dungeon Series,Teaches the move Aerial Ace.,Various dungeons and shops depending on title,
tm041,Pokémon Mystery Dungeon Series,Teaches the move Torment.,Various dungeons and shops depending on title.,
tm044,Pokémon Mystery Dungeon Series,Teaches the move Rest.,,Named only by the move it teaches.
tm045,Pokémon Mystery Dungeon Series,Teaches the move Attract.,"Various dungeon drops, shops, and rewards depending on title.",Named only by the move it teaches.
tm046,Pokémon Mystery Dungeon Series,Teaches the move Thief.,,Named only by the move it teaches.
tm047,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM047 in the respective core generation.,"Various dungeons, shops, and rewards",
tm048,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM048 in that game.,,Spin-off usage varies by title.
tm049,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Echoed Voice.,Found in dungeons or shops,
tm050,Pokémon Mystery Dungeon Series,Teaches the move Overheat.,Found in dungeons or purchased from Kecleon Shops depending on title.,Usage rules vary by Mystery Dungeon game.
tm051,Pokémon Mystery Dungeon Series,Teaches the corresponding move;  usage rules vary by title.,,Named by the move taught rather than TM number.
tm052,Pokémon Mystery Dungeon,Teaches the move Focus Blast.,,
tm053,Pokémon Mystery Dungeon Series,Teaches the move Energy Ball.,Various dungeon rewards and shops depending on title.,
tm054,Pokémon Mystery Dungeon Series,Teaches the move False Swipe.,,Named only by the move taught in Mystery Dungeon games.
tm055,Pokémon Mystery Dungeon,Teaches the move corresponding to TM055 in the respective Mystery Dungeon title.,,
tm056,Pokémon Mystery Dungeon Series,Teaches the move Fling.,,TMs are named after the move they teach in Mystery Dungeon games.
tm057,Pokémon Mystery Dungeon Series,Teaches the move Charge Beam.,,TM naming is based on the move taught in Mystery Dungeon games.
tm058,Pokémon Mystery Dungeon,Teaches the corresponding move in the Mystery Dungeon series.,"Kecleon Shops, dungeons, mail, and other methods depending on the title.",
tm059,Pokémon Mystery Dungeon: Explorers of Time/Darkness/Sky,Teaches the move Dragon Pulse.,Kecleon shops and dungeon rewards,
tm060,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM060's move in that title.,Various dungeon rewards and shops,Spin-off TM behavior differs by title.
tm061,Pokémon Mystery Dungeon,Teaches the move Will-O-Wisp.,Various dungeons and shops depending on title.,
tm062,Pokémon Mystery Dungeon,Teaches the move associated with TM062 in the corresponding generation.,,
tm063,Pokémon Mystery Dungeon Series,Teaches the move Embargo.,Various dungeons and Kecleon Shops depending on title.,
tm064,Pokémon Mystery Dungeon Series,Teaches the move Explosion.,,Named only by the move it teaches.
tm067,Pokémon Mystery Dungeon,Teaches the move corresponding to TM067 in the respective title.,"Various dungeons, shops, and rewards depending on game.",
tm068,Pokémon Mystery Dungeon,Teaches the move Giga Impact.,Various dungeons and shops,
tm069,Pokémon Mystery Dungeon Series,Teaches the move Rock Polish.,,TMs are named only by the move they teach in the Mystery Dungeon series.
tm070,Pokémon Mystery Dungeon Series,Teaches the move Flash or Aurora Veil depending on title.,Various dungeons and shops,
tm071,Pokémon Mystery Dungeon Series,Teaches the move Stone Edge.,Various dungeons and shops,Availability and reuse vary by title.
tm072,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM072 in each game.,Various dungeons and shops,
tm073,Pokémon Mystery Dungeon Series,Teaches the move Thunder Wave.,Various dungeon and shop methods,
tm074,Pokémon Mystery Dungeon Series,Teaches the move Gyro Ball.,,TMs are named by the move they teach.
tm075,Pokémon Mystery Dungeon Series,Teaches the move Swords Dance.,Various dungeons and shops,
tm076,Pokémon Mystery Dungeon Series,Teaches the move corresponding to TM076 in the respective game.,"Various dungeons, shops, and rewards depending on the title.",
tm077,Pokémon Mystery Dungeon,Teaches the move Psych Up.,,Named only by the move it teaches.
tm078,Pokémon Mystery Dungeon Series,Teaches the move corresponding to the TM; naming is by move only.,Availability and reuse rules vary by Mystery Dungeon title.,
tm079,Pokémon Mystery Dungeon,Teaches the move corresponding to TM079 in the respective game.,,
tm080,Pokémon Mystery Dungeon Series,Teaches the move Rock Slide.,Various dungeons and shops depending on title.,
tm081,Pokémon Mystery Dungeon Series,Teaches the move X-Scissor.,Various dungeons and shops depending on title.,Named only by the move it teaches.
tm082,Pokémon Mystery Dungeon,,,Named by the move taught in Mystery Dungeon games.
tm083,Pokémon Mystery Dungeon,Named by the move it teaches; usage and availability vary by title.,Various dungeons and shops,
tm084,Pokémon Mystery Dungeon Series,Teaches the move Poison Jab.,Various dungeons and shops,
tm086,Pokémon Mystery Dungeon Series,Teaches the move Grass Knot.,,Named by move rather than TM number.
tm087,Pokémon Mystery Dungeon Series,Teaches the move Swagger.,Various dungeon and shop methods depending on title.,
tm088,Pokémon Mystery Dungeon Series,Teaches the move associated with TM088 depending on the title.,,
tm089,Pokémon Mystery Dungeon,Teaches the move U-turn.,Various dungeon and shop methods depending on title.,
tm090,Pokémon Mystery Dungeon,Teaches the move Substitute.,Various dungeons and shops,
tm091,Pokémon Mystery Dungeon Series,Teaches the move Flash Cannon.,,Named only by the move it teaches.
tm092,Pokémon Mystery Dungeon Series,Teaches the move Trick Room.,,Named only by the move it teaches.
tm093,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Wild Charge.,Shop or dungeon find,
tm093,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Wild Charge.,"Shop, dungeon, or treasure box",
tm094,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Rock Smash.,"Kecleon Shop, Quagsire Assembly",
tm094,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Surf.,"Various dungeons, Kecleon shops, treasure boxes",
tm094,Pokémon Super Mystery Dungeon,Teaches the move Rock Smash.,Kecleon Shops,
tm095,Pokémon Mystery Dungeon: Gates to Infinity,Teaches the move Snarl.,Dungeon locations and shops,
tm095,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Snarl.,Various dungeons and shops,
tm096,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Nature Power.,Various dungeons and Kecleon Shops,
tm096,Pokémon Super Mystery Dungeon,Teaches the move Nature Power.,Kecleon Shops,
tm097,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Dark Pulse.,Dungeons and Kecleon Wares,
tm097,Pokémon Super Mystery Dungeon,Teaches the move Dark Pulse.,Kecleon Shops,
tm099,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Dazzling Gleam.,Various dungeons and shops,
tm099,Pokémon Super Mystery Dungeon,Teaches the move Dazzling Gleam.,Kecleon Shops,
tm100,Pokémon Mystery Dungeon: Rescue Team DX,Teaches the move Confide.,Treasure Boxes,
tm100,Pokémon Super Mystery Dungeon,Teaches the move Confide.,Kecleon Shops,
tropical-shell,Pokémon GO,A Buddy Souvenir with no functional purpose.,Collected occasionally by a Buddy Pokémon after reaching Ultra Buddy level.,
tyranitarite,Pokémon Shuffle,Allows Tyranitar and Shiny Tyranitar to Mega Evolve.,Defeat Mega Tyranitar in Stage 420 or competitive stage rewards,
ultra-ball,Pokémon GO,Attempts to catch a Pokémon with a 2× catch rate modifier.,"Level-up rewards, PokéStops, Gifts, Field Research, Shop boxes",
upgrade,Pokémon GO,Required with 25 Porygon Candy to evolve Porygon into Porygon2.,"PokéStops, Gifts, Research rewards",Added on 2017-02-16
upgrade,Pokémon Mystery Dungeon,Used with a Link Cable to evolve Porygon into Porygon2.,"Kecleon Shop, Treasure Boxes",
venusaurite,Pokémon Shuffle,Allows Venusaur to Mega Evolve.,Mission Card 15 or competitive stage reward,
vs-seeker,Pokémon Masters EX,Appears as part of Red and Leaf character models.,,Cosmetic only.
wacan-berry,Pokémon: Magikarp Jump,Can appear as food that can be consumed by Magikarp.,,
wailmer-pail,Pokémon Masters EX,A decorative replica displayed in the Trainer Lodge.,Purchase from the Lodge Exchange after reaching friendship level 100 with May.,
water-stone,Pokémon Conquest,Allows Eevee and Panpour to evolve when equipped and link is improved.,Purchased from traveling merchant,
water-stone,Pokémon Mystery Dungeon,Used to evolve certain Pokémon at special locations or in dungeons.,,
water-stone,Pokémon Sleep,Required to evolve certain Pokémon such as Eevee into Vaporeon.,,
watmel-berry,Pokémon Dream Radar,Used as an ingredient for Ice Cream Scoop and Décor exchanges.,,
weakness-policy,Pokémon UNITE,Grants stacking Attack buffs for a short time when the holder takes damage; also increases HP and Attack based on grade.,,
wellspring-mask,Pokémon Trading Card Game,Allows the player to switch an Ogerpon Pokémon ex in play with another Ogerpon Pokémon ex from the discard pile.,Depicted as part of the Ogre's Mask card in the Twilight Masquerade expansion,
wepear-berry,Pokémon GO,,,Present in game data but unused
wiki-berry,Pokémon Sleep,Raises Snorlax's Strength; effect is doubled if it is Snorlax's favorite Berry.,Gathered by helper Pokémon,Berries are eaten immediately by Snorlax and not stored.
wise-glasses,Pokémon UNITE,Increases Sp. Attack additively and multiplicatively depending on grade.,,
x-accuracy,Pokémon Masters EX,Raises the user's accuracy by two stat ranks.,,
x-attack,Pokémon Masters EX,Raises the user’s Attack by two stat ranks.,,
x-attack,Pokémon UNITE,Raises Attack and Sp. Atk by 20% and basic attack speed by 25% for 7 seconds.,Unlocked at Trainer Level 7,40-second cooldown
x-defense,Pokémon Masters EX,Raises the user’s Defense by two stat ranks.,,
x-sp-atk,Pokémon Masters EX,Raises the user's Special Attack by two stat ranks.,,
x-sp-def,Pokémon Masters EX,Raises the user's Special Defense by two stat ranks.,,
x-speed,Pokémon UNITE,Raises movement speed by 45% and grants immunity to speed reduction for 7 seconds.,Unlocked at Trainer Level 8,50s cooldown
x-speed,Super Smash Bros. for Nintendo 3DS/Wii U,Raises Speed while lowering Attack.,,
yache-berry,Pokémon Sleep,Raises Snorlax's Strength;  effect is doubled if it is Snorlax's favorite Berry.,Gathered by helper Pokémon,
zinc,Pokémon Mystery Dungeon Series,Raises Special Defense by 3 and restores Belly when consumed.,,
zygarde-cube,Pokémon GO,Stores up to 300 Zygarde Cells to change Zygarde's form.,Special Research: From A to Zygarde (3/8),
